"公共基础课程","公共基础课程","公共基础课程","公共基础课程","公共基础课程","公共基础课程","公共基础课程","公共基础课程","公共基础课程"
"物理类Physics Courses","大学物理实验IExperiments in College Physics I","必修Compulsory","1","1","第2学期Semester2","物理科学与技术学院School of Physical Science and Technology","4","null"
"物理类Physics Courses","大学物理BIICollege Physics  BII","必修Compulsory","3","null","第3学期Semester3","物理科学与技术学院School of Physical Science and Technology","1，2","null"
"物理类Physics Courses","大学物理实验IIExperiments in College Physics II","必修Compulsory","1","1","第3学期Semester3","物理科学与技术学院School of Physical Science and Technology","4","null"
"专业基础类Specialized Basic Courses","计算机学科前沿导论Introduction to the frontier of computer science","限修Distributional Elective","2","null","第1学期Semester1","计算机与人工智能学院School of Computing and Artificial Intelligence","8，9，10","二选一"
"专业基础类Specialized Basic Courses","软件学科前沿导论Introduction to the frontier of software science","限修Distributional Elective","2","null","第1学期Semester1","计算机与人工智能学院School of Computing and Artificial Intelligence","8，9，10","二选一"
"专业基础类Specialized Basic Courses","高级语言程序设计Advanced Programming Language","必修Compulsory","4","0.5","第1学期Semester1","计算机与人工智能学院School of Computing and Artificial Intelligence","1，2，3","null"
"专业基础类Specialized Basic Courses","面向对象程序设计Object-oriented Programming","必修Compulsory","2","null","第2学期Semester2","计算机与人工智能学院School of Computing and Artificial Intelligence","1，3，5","null"
"专业基础类Specialized Basic Courses","电路与电子技术Circuit and electronic technology","必修Compulsory","3","0.5","第3学期Semester3","计算机与人工智能学院School of Computing and Artificial Intelligence","3，4","null"
"专业基础类Specialized Basic Courses","数字电子技术BDigital Electronic TechniqueB","必修Compulsory","3","0","第3学期Semester3","信息科学与技术学院School of Information Science and Technology","1，2","null"
"专业基础类Specialized Basic Courses","数字电子技术实验Experiments for Digital Electronic Technology","必修Compulsory","1","1","第3学期Semester3","信息科学与技术学院School of Information Science and Technology","4，5","null"
"专业基础类Specialized Basic Courses","数据结构AData Structure A","必修Compulsory","4","null","第3学期Semester3","计算机与人工智能学院School of Computing and Artificial Intelligence","1，2，3，4","null"
"专业基础类Specialized Basic Courses","计算机组成原理(含实验)Principles of Computer Composition(with Experiments)","必修Compulsory","4","1","第4学期Semester4","计算机与人工智能学院School of Computing and Artificial Intelligence","1，2，5","null"
"专业基础类Specialized Basic Courses","编译原理Compilation Principle","必修Compulsory","3","0","第4学期Semester4","计算机与人工智能学院School of Computing and Artificial Intelligence","1，2","null"
"专业基础类Specialized Basic Courses","操作系统(含实验)Operating System(with Experiments)","必修Compulsory","4","1","第4学期Semester4","计算机与人工智能学院School of Computing and Artificial Intelligence","1，2，4，5","null"
"专业课程（含实验）","专业课程（含实验）","专业课程（含实验）","专业课程（含实验）","专业课程（含实验）","专业课程（含实验）","专业课程（含实验）","专业课程（含实验）","专业课程（含实验）"
"Specialized Courses (Including Experiments)","Specialized Courses (Including Experiments)","Specialized Courses (Including Experiments)","Specialized Courses (Including Experiments)","Specialized Courses (Including Experiments)","Specialized Courses (Including Experiments)","Specialized Courses (Including Experiments)","Specialized Courses (Including Experiments)","Specialized Courses (Including Experiments)"
"共43学分，其中必修40学分，限修3学分，选修0学分","共43学分，其中必修40学分，限修3学分，选修0学分","共43学分，其中必修40学分，限修3学分，选修0学分","共43学分，其中必修40学分，限修3学分，选修0学分","共43学分，其中必修40学分，限修3学分，选修0学分","共43学分，其中必修40学分，限修3学分，选修0学分","共43学分，其中必修40学分，限修3学分，选修0学分","共43学分，其中必修40学分，限修3学分，选修0学分","共43学分，其中必修40学分，限修3学分，选修0学分"
"A total credits of 43，including 40 for compulsory courses，3 for distributional electives and 0 for free electives","A total credits of 43，including 40 for compulsory courses，3 for distributional electives and 0 for free electives","A total credits of 43，including 40 for compulsory courses，3 for distributional electives and 0 for free electives","A total credits of 43，including 40 for compulsory courses，3 for distributional electives and 0 for free electives","A total credits of 43，including 40 for compulsory courses，3 for distributional electives and 0 for free electives","A total credits of 43，including 40 for compulsory courses，3 for distributional electives and 0 for free electives","A total credits of 43，including 40 for compulsory courses，3 for distributional electives and 0 for free electives","A total credits of 43，including 40 for compulsory courses，3 for distributional electives and 0 for free electives","A total credits of 43，including 40 for compulsory courses，3 for distributional electives and 0 for free electives"
"课程类型Course Type","课程名称Course Name","课程性质Nature of Course","总学分Credits","课内实践学分In-class practice credits","开课学期Semester","开课学院School","支撑毕业要求指标点Indicators which Support Graduation Requirements","备注Notes"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","数据库原理与设计(含实验)Principle and design of database(with Experiments)","必修Compulsory","4","1","第4学期Semester4","计算机与人工智能学院School of Computing and Artificial Intelligence","1，2，3，5","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","算法分析与设计(含实验)Analysis and design of algorithms(with Experiments)","必修Compulsory","3","1","第4学期Semester4","计算机与人工智能学院School of Computing and Artificial Intelligence","2，3，4","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","微机与接口技术(含实验)Microcomputer and interface technology(with Experiments)","必修Compulsory","4","1","第5学期Semester5","计算机与人工智能学院School of Computing and Artificial Intelligence","1，2，3，5","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","计算机网络Computer Networks","必修Compulsory","3","null","第5学期Semester 5","计算机与人工智能学院School of Computing and Artificial Intelligence","1, 2","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","计算机网络工程实验Computer Network Engineering Experiments","必修Compulsory","1","1","第5学期Semester 5","计算机与人工智能学院School of Computing and Artificial Intelligence","2, 3,10","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","计算机图形学与人机交互Computer graphics and Human Computer Interaction","必修Compulsory","3","1","第5学期Semester5","计算机与人工智能学院School of Computing and Artificial Intelligence","1，3，5.","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","机器学习（含实验）Machine Learning (with Experiments)","必修Compulsory","3","1","第5学期Semester5","计算机与人工智能学院School of Computing and Artificial Intelligence","2，4，7，12","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","人工智能Artificial Intelligence","必修Compulsory","2","0","第5学期Semester5","计算机与人工智能学院School of Computing and Artificial Intelligence","4，5，12","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","智能嵌入式系统设计（含实验）                Intelligent Embedded System Design (with Experiments)","必修Compulsory","3","1","第6学期Semester6","计算机与人工智能学院School of Computing and Artificial Intelligence","1，2，3，10","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","软件系统综合课程设计Software System Comprehensive Course Design","必修Compulsory","4","2","第6学期Semester6","计算机与人工智能学院School of Computing and Artificial Intelligence","2，9，10，11","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","云计算技术Cloud computing and parallel technologies","必修Compulsory","2","0","第6学期Semester6","计算机与人工智能学院School of Computing and Artificial Intelligence","3，7，11，12","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","网络空间安全技术Cyberspace Security technology","必修Compulsor","3","1","第6学期Semester6","计算机与人工智能学院School of Computing and Artificial Intelligence","1，3，12","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","视觉计算Visual Computing","必修Compulsor","2","0","第6学期Semester6","计算机与人工智能学院School of Computing and Artificial Intelligence","3，4，5，12","null"
"专业核心课程Specialized Core Courses专业核心课程Specialized Core Courses","智能系统实践Intelligent System Practice","必修Compulsory","3","3","第7学期Semester7","计算机与人工智能学院School of Computing and Artificial Intelligence","2，6，9，12","null"
"专业限修课程Specialized Restricted Courses","互联网搜索引擎Internet search engine","限修Distributional Elective","3","1","第7学期Semester7","计算机与人工智能学院School of Computing and Artificial Intelligence","3，7，11，12","限修3学分Limited to 3 credits"
"专业限修课程Specialized Restricted Courses","机器人技术(含实验)Robot technology(with Experiments)","限修Distributional Elective","3","1","第7学期Semester7","计算机与人工智能学院School of Computing and Artificial Intelligence","3，7，11，12","限修3学分Limited to 3 credits"
"实践教学环节","实践教学环节","实践教学环节","实践教学环节","实践教学环节","实践教学环节","实践教学环节","实践教学环节","实践教学环节"
"Practice Courses","Practice Courses","Practice Courses","Practice Courses","Practice Courses","Practice Courses","Practice Courses","Practice Courses","Practice Courses"
"共16学分，其中必修16学分，限修0学分，选修0学分","共16学分，其中必修16学分，限修0学分，选修0学分","共16学分，其中必修16学分，限修0学分，选修0学分","共16学分，其中必修16学分，限修0学分，选修0学分","共16学分，其中必修16学分，限修0学分，选修0学分","共16学分，其中必修16学分，限修0学分，选修0学分","共16学分，其中必修16学分，限修0学分，选修0学分","共16学分，其中必修16学分，限修0学分，选修0学分","共16学分，其中必修16学分，限修0学分，选修0学分"
"A total credits of 16，including 16 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 16，including 16 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 16，including 16 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 16，including 16 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 16，including 16 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 16，including 16 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 16，including 16 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 16，including 16 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 16，including 16 for compulsory courses，0 for distributional electives and 0 for free electives"
"课程类型Course Type","课程名称Course Name","课程性质Nature of Course","总学分Credits","课内实践学分In-class practice credits","开课学期Semester","开课学院School","支撑毕业要求指标点Indicators which Support Graduation Requirements","备注Notes"
"集中性实践教学环节：基本技能训练、工程实践、综合课程设计、社会与文化素质和实践、毕业实习与毕业设计Centralized Practical Teaching Process：Basic Skills Training, Practical Training, Integrated Curriculum Design, Social and Cultural Quality Practice, Graduation Internship and Graduation Design","软件设计实习Software design internship","必修Compulsory","2","2","短1学期Short Semester 1","计算机与人工智能学院School of Computing and Artificial Intelligence","8，11","null"
"集中性实践教学环节：基本技能训练、工程实践、综合课程设计、社会与文化素质和实践、毕业实习与毕业设计Centralized Practical Teaching Process：Basic Skills Training, Practical Training, Integrated Curriculum Design, Social and Cultural Quality Practice, Graduation Internship and Graduation Design","智能计算硬件平台构建综合实习Comprehensive Internship of Intelligent Computing Hardware Platform Construction","必修Compulsory","2","2","短2学期Short Semester 2","计算机与人工智能学院School of Computing and Artificial Intelligence","3，5，8，10","null"
"集中性实践教学环节：基本技能训练、工程实践、综合课程设计、社会与文化素质和实践、毕业实习与毕业设计Centralized Practical Teaching Process：Basic Skills Training, Practical Training, Integrated Curriculum Design, Social and Cultural Quality Practice, Graduation Internship and Graduation Design","计算机科学与技术专业工程实习Engineering Internship ofComputer Science and Technology Major","必修Compulsory","2","2","短3学期Short Semester 3","计算机与人工智能学院School of Computing and Artificial Intelligence","3，7，9，11","null"
"集中性实践教学环节：基本技能训练、工程实践、综合课程设计、社会与文化素质和实践、毕业实习与毕业设计Centralized Practical Teaching Process：Basic Skills Training, Practical Training, Integrated Curriculum Design, Social and Cultural Quality Practice, Graduation Internship and Graduation Design","毕业设计BDiploma project B","必修Compulsory","8","8","第8学期Semester8","计算机与人工智能学院School of Computing and Artificial Intelligence","2，3，4，10，12","null"
"创新创业实践：创新创业训练计划项目、个性化实验、学科竞赛、创新讲座等Innovation and Entrepreneurship Practice：Innovation and Entrepreneurship Training Program, Personalized Experiments, Subject Competition, Innovation Lectures, etc","创新创业实践Innovation and Entrepreneurship Practice","必修Compulsory","2","2","3-7学期Semester3-7","计算机与人工智能学院School of Computing and Artificial Intelligence","null","null"
"必修环节","必修环节","必修环节","必修环节","必修环节","必修环节","必修环节","必修环节","必修环节"
"A compulsory part","A compulsory part","A compulsory part","A compulsory part","A compulsory part","A compulsory part","A compulsory part","A compulsory part","A compulsory part"
"共0学分，其中必修0学分，限修0学分，选修0学分","共0学分，其中必修0学分，限修0学分，选修0学分","共0学分，其中必修0学分，限修0学分，选修0学分","共0学分，其中必修0学分，限修0学分，选修0学分","共0学分，其中必修0学分，限修0学分，选修0学分","共0学分，其中必修0学分，限修0学分，选修0学分","共0学分，其中必修0学分，限修0学分，选修0学分","共0学分，其中必修0学分，限修0学分，选修0学分","共0学分，其中必修0学分，限修0学分，选修0学分"
"A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives"
"课程类型Course Type","课程名称Course Name","课程性质Nature of Course","总学分Credits","课内实践学分In-class practice credits","开课学期Semester","开课学院School","支撑毕业要求指标点Indicators which Support Graduation Requirements","备注Notes"
"“第二课堂” 项目：思想政治与道德素养类项目、学术科技与创新创业类项目、艺术体验与审美修养类项目、 文化沟通与交往能力类项目、心理素质与身体素质类项目、社会工作与领导能力类项目、社会实践与志愿服务类项目""The Second Lesson"" Project:Ideological and Political Education and Moral Literacy Projects, Academic and Technological Innovation and Entrepreneurship Projects, Art Experience and Aesthetic Education Projects, Cultural Communication and Interpersonal Skills Projects, Psychological and Physical Health Projects, Social Work and Leadership Development Projects, Social Practice and Volunteering Projects","“第二课堂” 项目""The Second Lesson"" Project","必修Compulsory","0","0","1-8学期Semester 1-8","校团委Communist Youth League Committee","null","null"
"大学生综合素质提升、学生体质达标测评Comprehensive Quality Improvement Courses for College Students, Assessment of Students' Physical Fitness","大学生综合素质提升Comprehensive Quality Improvement Courses for College Students","必修Compulsory","0","0","1-8学期Semester 1-8","校团委Communist Youth League Committee","null","null"
"大学生综合素质提升、学生体质达标测评Comprehensive Quality Improvement Courses for College Students, Assessment of Students' Physical Fitness","学生体质达标测评Assessment of Students' Physical Fitness","必修Compulsory","0","0","秋季学期Fall Semester","体育学院School of Physical Education","null","null"
"学分总计 Total Credits","学分总计 Total Credits","学分总计 Total Credits","160","160","160","160","160","160"
