"公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives"
"数学与自然科学基础课 FoundationalCourses on Mathematics and Natural Science","高等数学 I Advanced Mathematics I","必修Compulsory","5","null","第 1 学期1StSemester","数学学院School ofMathematics","1.1","null"
"数学与自然科学基础课 FoundationalCourses on Mathematics and Natural Science","线性代数 B Linear Algebra B","必修Compulsory","3","null","第 1 学期1StSemester","数学学院School ofMathematics","1.1","null"
"数学与自然科学基础课 FoundationalCourses on Mathematics and Natural Science","高等数学 II Advanced MathematicsII","必修Compulsory","5","null","第 2 学期2NdSemester","数学学院School ofMathematics","1.1","null"
"数学与自然科学基础课 FoundationalCourses on Mathematics and Natural Science","离散数学Discrete mathematics","必修Compulsory","4","null","第 2 学期2NdSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.1，1.4","null"
"数学与自然科学基础课 FoundationalCourses on Mathematics and Natural Science","概率论与数理统计Probability andMathematical Statistics","必修Compulsory","3","null","第 3 学期3RdSemester","数学学院School ofMathematics","1.1","null"
"数学与自然科学基础课 FoundationalCourses on Mathematics and Natural Science","大学物理 BI College Physics BI","必修Compulsory","3","null","第 2 学期2NdSemester","物理科学与技术学院School of PhysicalScience and Technology","1.1","null"
"数学与自然科学基础课 FoundationalCourses on Mathematics and Natural Science","大学物理实验 I Experiments in CollegePhysics I","必修Compulsory","1","1","第 2 学期2NdSemester","物理科学与技术学院School of PhysicalScience and Technology","4.1，4.2","null"
"数学与自然科学基础课 FoundationalCourses on Mathematics and Natural Science","大学物理 BII College Physics BII","必修Compulsory","3","null","第 3 学期3RdSemester","物理科学与技术学院School of PhysicalScience and Technology","1.1","null"
"数学与自然科学基础课 FoundationalCourses on Mathematics and Natural Science","大学物理实验 II Experiments in CollegePhysics II","必修Compulsory","1","1","第 3 学期3RdSemester","物理科学与技术学院School of PhysicalScience and Technology","4.1，4.2","null"
"专业基础课ProfessionalFoundational Courses","高级语言程序设计Advanced ProgrammingLanguage","必修Compulsory","4","0.5","第 1 学期1StSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.2，2.1，3.1","null"
